,Player,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Offensive Archetype,Pos,LEBRON,O-LEBRON,D-LEBRON,Wins Added,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
255,Luguentz Dort,127.0,21.0,46,1366,10.9,0.526,0.513,0.252,2.4,10.6,6.5,8.3,1.5,1.2,10.0,21.3,,-0.3,1.0,0.7,0.025,-2.4,-0.7,-3.1,-0.4,1517981.0,Stationary Shooter,SG,-1.51,-0.77,-0.74,0.7,-2.07,-1.5,-0.56
256,Luka Doncic,126.0,21.0,54,1898,25.8,0.591,0.399,0.352,2.5,22.0,12.4,44.5,1.4,1.7,15.1,35.8,,4.5,2.2,6.7,0.17,6.5,0.8,7.3,4.5,8049360.0,Shot Creator,PG,3.86,4.68,-0.82,7.3,4.23,4.68,-0.45
257,Luke Kennard,267.0,24.0,56,1115,12.8,0.612,0.539,0.078,1.4,13.6,7.7,11.7,0.9,0.7,10.5,17.0,,1.5,0.9,2.5,0.106,0.4,-0.9,-0.5,0.4,5273826.0,Movement Shooter,SG,-2.5,-0.71,-1.79,-0.1,-0.65,-0.17,-0.47
258,Luke Kornet,273.0,25.0,15,147,11.700000000000001,0.48466666666666675,0.7216666666666667,0.09766666666666668,3.3333333333333335,17.5,10.466666666666667,8.233333333333333,0.4666666666666666,7.333333333333333,4.166666666666667,13.800000000000002,,0.06666666666666667,0.19999999999999998,0.26666666666666666,0.07866666666666666,-0.3,0.8333333333333335,0.5333333333333333,0.09999999999999999,2304878.0,Stretch Big,PF-C,0.4,-0.21,0.61,0.4,0.08,-0.18,0.26
259,Malachi Flynn,153.0,22.0,35,586,9.6,0.451,0.476,0.126,1.3,12.0,6.5,21.9,2.1,0.9,11.0,18.0,,-0.3,0.5,0.3,0.023,-3.5,-0.1,-3.6,-0.2,1950600.0,Secondary Ball Handler,PG,-1.29,-1.37,0.07,0.4,-1.03,-0.73,-0.31
260,Malcolm Brogdon,68.0,28.0,53,1860,18.2,0.562,0.378,0.177,3.4,13.0,8.2,26.1,1.3,0.6,9.6,25.9,,3.0,1.3,4.3,0.111,3.1,-1.3,1.7,1.7,20700000.0,Primary Ball Handler,PG,1.04,1.73,-0.69,3.9,0.46,1.8,-1.34
261,Malik Beasley,39.0,24.0,37,1214,14.8,0.57,0.535,0.133,2.4,12.5,7.3,11.8,1.2,0.5,8.6,24.1,,0.9,0.3,1.3,0.05,1.7,-2.3,-0.6,0.4,13325895.0,Movement Shooter,SG,-0.75,0.47,-1.22,1.3,-1.14,0.41,-1.55
262,Malik Monk,340.0,22.0,32,694,15.2,0.598,0.512,0.202,1.9,11.6,6.7,14.3,1.1,0.6,11.8,24.7,,0.6,0.4,1.0,0.072,1.0,-2.0,-1.1,0.2,5345687.0,Movement Shooter,SG,-0.7,0.6,-1.3,0.7,-1.31,0.37,-1.67
263,Marc Gasol,166.0,36.0,45,878,12.0,0.592,0.617,0.256,4.5,18.9,11.8,14.3,1.3,5.5,20.6,12.5,,0.5,1.7,2.3,0.125,-1.5,3.1,1.6,0.8,2564753.0,Stretch Big,C,0.97,-1.54,2.51,1.9,1.04,-1.59,2.64
264,Marcus Smart,449.0,26.0,40,1306,14.9,0.555,0.553,0.336,2.6,9.3,5.9,23.3,2.2,1.4,12.9,18.5,,2.1,1.3,3.4,0.123,0.3,0.2,0.5,0.8,13446428.0,Primary Ball Handler,PG,0.68,0.52,0.16,2.5,1.53,1.27,0.26
265,Markelle Fultz,160.0,22.0,8,215,12.1,0.458,0.154,0.183,2.3,10.1,6.1,32.9,1.8,0.9,13.8,26.2,,-0.2,0.2,-0.1,-0.02,-2.9,-1.7,-4.6,-0.1,12288697.0,Slasher,PG,-0.34,-0.32,-0.01,0.3,-0.2,-0.33,0.13
266,Markieff Morris,345.0,31.0,52,1071,10.0,0.536,0.572,0.129,4.6,20.1,12.4,7.9,0.8,1.4,12.2,16.3,,0.1,1.6,1.7,0.078,-2.3,-0.1,-2.4,-0.1,2331593.0,Stretch Big,PF,-1.53,-1.8,0.28,0.5,-0.62,-1.23,0.62
267,Marquese Chriss,96.0,23.0,2,27,11.9,0.412,0.357,0.286,11.9,39.1,25.6,11.1,0.0,6.6,11.3,28.1,,-0.1,0.1,0.0,-0.032,-2.2,-1.0,-3.2,0.0,1824003.0,Stretch Big,PF,-0.56,-0.31,-0.25,0.0,-0.42,-0.09,-0.33
268,Mason Plumlee,392.0,30.0,54,1453,18.6,0.635,0.019,0.459,10.6,28.4,19.4,20.7,1.4,2.8,18.7,16.2,,2.9,2.0,4.9,0.163,0.2,1.7,1.9,1.4,8000000.0,Roll + Cut Big,C,-0.01,-0.81,0.8,2.1,0.39,-0.89,1.28
