,Player,TRB,AST,STL,BLK,PTS
639,Moritz Wagner,2.7,1.1,0.6,0.3,5.6
640,Moritz Wagner,2.9,1.3,0.9,0.3,7.1
641,Moritz Wagner,2.1,0.7,0,0.1,1.2
92,Moses Brown,8.2,0.2,0.6,1,8.5
450,Mychal Mulder,0.8,0.4,0.2,0.2,4.4
627,Myles Turner,6.5,1,0.9,3.4,12.6
403,Naji Marshall,3.7,2.6,0.7,0.3,5.9
387,Nassir Little,2.9,0.5,0.1,0.3,4.8
147,Nate Darling,0.2,0.2,0,0.2,1.5
283,Nate Hinton,0.4,0.3,0.3,0.1,1.5
356,Nathan Knight,2,0.2,0.3,0.3,3.6
537,Naz Reid,4.5,1,0.5,1.1,11
58,Nemanja Bjelica,3.3,1.7,0.3,0.1,6
59,Nemanja Bjelica,3.8,1.9,0.3,0.1,7.2
60,Nemanja Bjelica,1.9,1.1,0.3,0.2,2.6
463,Nerlens Noel,6.5,0.8,1,2.1,5.1
539,Nick Richards,0.5,0.1,0,0,0.9
8,Nickeil Alexander-Walker,3.1,2,1,0.5,10.2
400,Nico Mannion,1.4,2.3,0.6,0,4.3
430,Nicolo Melli,2.7,1,0.4,0.1,2.6
431,Nicolo Melli,2.6,1.1,0.4,0,2
432,Nicolo Melli,2.9,0.7,0.3,0.1,3.7
41,Nicolas Batum,4.9,2.3,1.1,0.5,8.2
125,Nicolas Claxton,5,1.1,0.8,1.2,6.6
334,Nikola Jokic,11,8.7,1.4,0.6,26.2
635,Nikola Vucevic,11.3,3.7,1,0.7,23.9
636,Nikola Vucevic,11.8,3.8,1,0.6,24.5
637,Nikola Vucevic,10.2,3.6,1,0.7,22.3
634,Noah Vonleh,0.3,0.3,0,0,0
521,Norman Powell,3,1.8,1.2,0.2,18.6
522,Norman Powell,3,1.8,1.1,0.2,19.6
523,Norman Powell,3,1.9,1.5,0.4,16.2
501,Norvel Pelle,1.9,0.1,0.1,0.8,2
502,Norvel Pelle,2.3,0,0,1,2
503,Norvel Pelle,1,1,0,0,3
504,Norvel Pelle,1.8,0,0.3,0.8,1.8
616,Obi Toppin,2.3,0.5,0.3,0.2,4
22,OG Anunoby,5.6,2.1,1.6,0.7,15.6
476,Onyeka Okongwu,3,0.2,0.4,0.6,3.9
85,Oshae Brissett,4.9,0.6,0.6,1,9.4
515,Otto Porter,5.4,2,0.6,0.1,9.7
516,Otto Porter,5.5,2,0.5,0.2,9.9
517,Otto Porter,4.7,1.7,1.3,0,8
623,P.J. Tucker,4.2,1.2,0.8,0.5,4
624,P.J. Tucker,4.6,1.4,0.9,0.6,4.4
625,P.J. Tucker,3,0.5,0.4,0.2,2.7
649,P.J. Washington,6.3,2.6,0.9,1.3,12.4
572,Pascal Siakam,7.2,4.6,1.1,0.7,20.9
129,Pat Connaughton,4.8,1.2,0.7,0.3,7
50,Patrick Beverley,3.6,2.1,0.8,0.8,8
414,Patrick McCaw,0.6,0.8,0.4,0,1
495,Patrick Patterson,1.9,0.6,0.4,0.2,5.1
665,Patrick Williams,4.7,1.4,0.9,0.7,9.1
438,Patty Mills,1.7,2.5,0.6,0,11.5
216,Paul George,6.5,5.3,1.2,0.5,23.7
439,Paul Millsap,4.8,1.7,0.8,0.7,8.9
536,Paul Reed,2.2,0.4,0.3,0.5,3
652,Paul Watson,1.7,0.6,0.2,0.1,4.1
527,Payton Pritchard,2.3,1.9,0.5,0.2,7.7
170,PJ Dozier,3.7,1.8,0.7,0.5,7.6
0,Precious Achiuwa,3.6,0.5,0.3,0.5,5
130,Quinn Cook,0.7,0.8,0.2,0,3.3
131,Quinn Cook,0.3,0.3,0.1,0.1,2.1
132,Quinn Cook,1.7,1.9,0.4,0,6.1
653,Quinndary Weatherspoon,0.4,0.3,0.4,0.1,1.1
247,R.J. Hampton,2.7,1,0.4,0.1,5.1
248,R.J. Hampton,2,0.6,0.2,0.1,2.6
249,R.J. Hampton,3.8,1.6,0.8,0.3,9.2
552,Rajon Rondo,2.2,4,0.7,0.1,4.6
553,Rajon Rondo,2,3.5,0.7,0.1,3.9
554,Rajon Rondo,2.5,5.2,0.8,0.1,6.5
460,Raul Neto,2.3,2.1,1.1,0.1,8.3
587,Ray Spalding,2,0,0,1,2
626,Rayjon Tucker,0.8,0.4,0.2,0,2
99,Reggie Bullock,3.3,1.5,0.8,0.2,10.5
317,Reggie Jackson,2.9,3.2,0.6,0.1,10.5
505,Reggie Perry,3.1,0.7,0.3,0.3,3.6
289,Richaun Holmes,8.8,1.6,0.7,1.6,14.3
560,Ricky Rubio,3.2,6.5,1.4,0.1,8.1
38,RJ Barrett,5.7,2.9,0.7,0.3,17.5
139,Robert Covington,6.7,1.7,1.5,1.2,8.8
204,Robert Franks,2,0.7,0.4,0.4,6.1
666,Robert Williams,7,1.8,0.8,1.8,8.2
676,Robert Woodard,1,0,0,0.2,1.6
390,Robin Lopez,3.9,0.9,0.2,0.6,8.8
363,Rodions Kurucs,1.1,0.5,0.4,0.2,1.5
364,Rodions Kurucs,0.6,0.4,0,0,0.6
365,Rodions Kurucs,1,0.4,0.5,0.4,1.2
366,Rodions Kurucs,1.8,0.8,0.6,0,3
290,Rodney Hood,1.9,1,0.4,0.1,4.6
291,Rodney Hood,1.9,1.2,0.5,0.1,4.7
292,Rodney Hood,1.7,0.4,0.1,0.3,4.3
424,Rodney McGruder,1.4,1,0.5,0.1,5.7
370,Romeo Langford,2.2,0.6,0.3,0.3,2.5
288,Rondae Hollis-Jefferson,2.5,1.3,0.3,0.5,3.2
471,Royce O,7.1,2.6,0.8,0.5,6.9
215,Rudy Gay,4.9,1.5,0.7,0.6,11.1
